,education_level,current_course_of_study,current_institution,place_of_residence,current_marks_type,current_marks_value,next_path,company_name,next_role,placement_status,next_course,next_institution,admission_status,interests,family_background,residence
0,High School,10th Grade,Zilla Parishad School (Marathi Medium),Maharashtra,Percentage,62.5,Undecided,,,Not Placed Yet,11th Grade (Science),Same School,Applied,Agriculture|Local Crafts|Sports,Lower Income,Rural
1,Undergraduate,B.Tech (Computer Science),IIT Bombay,Mumbai,CGPA,9.1,Job,Google,Software Engineer,Placed,,,Placed,Coding|AI|Competitive Programming,Upper Income,Metro
2,High School,12th Grade (Science - PCM),Kendriya Vidyalaya,Delhi,Percentage,88.3,Higher Education,,,Not Placed Yet,B.Tech (Computer Science),IIT Delhi,Applied,Physics|Robotics|JEE Prep,Middle Income,Urban
3,Intermediate,9th Grade,Govt. Bengali Medium School,West Bengal,Percentage,57.0,Undecided,,,Not Placed Yet,10th Grade,Same School,Applied,Fishing|Local Festivals|Football,Lower Income,Rural
4,Postgraduate,MBA (Finance),IIM Bangalore,Bangalore,CGPA,8.7,Job,Goldman Sachs,Investment Banker,Placed,,,Placed,Finance|Stock Markets|Debate,Upper Income,Metro
5,Undergraduate,B.A. (History),Delhi University,Delhi,CGPA,7.2,Higher Education,,,Not Placed Yet,M.A. (History),JNU,Applied,Archaeology|Museums|Writing,Middle Income,Urban
6,High School,11th Grade (Commerce),Private School (Gujarati Medium),Gujarat,Percentage,75.8,Undecided,,,Not Placed Yet,12th Grade (Commerce - Accounts),Same School,Applied,Family Business|Accounting|Cricket,Middle Income,Semi-Urban
7,Undergraduate,B.Sc (Agriculture),State Agricultural University,Punjab,CGPA,6.8,Job,Local Agro Firm,Field Officer,Placed,,,Placed,Farming|Soil Science|Rural Dev,Lower Income,Semi-Urban
8,High School,12th Grade (Vocational - IT),Govt. ITI (Telugu Medium),Andhra Pradesh,Percentage,68.4,Job,Local IT Solutions,Network Technician,Placed,,,Placed,Hardware Repair|Cabling|Gaming,Lower Income,Urban
9,Postgraduate,M.Sc (Physics),University of Hyderabad,Telangana,CGPA,8.3,Higher Education,,,Not Placed Yet,PhD (Astrophysics),TIFR,Applied,Quantum Mechanics|Research|Teaching,Middle Income,Urban
10,Undergraduate,B.Com (Hons),SRCC,Delhi,CGPA,9.0,Job,EY,Audit Associate,Placed,,,Placed,CA Prep|Finance|Debate,Upper Income,Metro
11,High School,8th Grade,Village Public School (Hindi Medium),Bihar,Percentage,48.9,Undecided,,,Not Placed Yet,9th Grade,Same School,Applied,Farming|Local Crafts|Kabaddi,Lower Income,Rural
12,Undergraduate,B.Tech (Mechanical),NIT Trichy,Tamil Nadu,CGPA,7.9,Job,Tata Motors,Design Engineer,Placed,,,Placed,Automobiles|CAD|Robotics,Middle Income,Semi-Urban
13,High School,12th Grade (Arts),Rural Convent School (Kannada Medium),Karnataka,Percentage,72.1,Higher Education,,,Not Placed Yet,B.A. (Psychology),Local College,Applied,Counseling|Painting|Social Work,Lower Income,Rural
14,Postgraduate,M.A. (Economics),Delhi School of Economics,Delhi,Percentage,84.5,Job,World Bank,Research Analyst,Placed,,,Placed,Development Economics|Data Analysis,Upper Income,Metro
15,Undergraduate,B.Pharm,Private Pharmacy College,Maharashtra,CGPA,6.5,Job,Local Clinic,Pharmacist,Placed,,,Placed,Medicine|Healthcare|Yoga,Middle Income,Urban
16,High School,10th Grade,Telugu Medium School,Telangana,Percentage,59.7,Undecided,,,Not Placed Yet,11th Grade (Vocational - Electrical),Same School,Applied,Wiring|Motor Repair|Cricket,Lower Income,Rural
17,Undergraduate,B.Des (Fashion),NIFT Delhi,Delhi,CGPA,8.1,Job,Small Boutique,Fashion Designer,Placed,,,Placed,Sketching|Textiles|Trends,Middle Income,Metro
18,High School,12th Grade (Science - Biology),Govt. School (Odia Medium),Odisha,Percentage,81.2,Higher Education,,,Not Placed Yet,MBBS,SCB Medical College,Applied,Medicine|Wildlife|Dance,Middle Income,Semi-Urban
19,Postgraduate,M.Tech (CS),IIT Madras,Chennai,CGPA,9.3,Job,Microsoft,Data Scientist,Placed,,,Placed,ML|Algorithms|Research,Upper Income,Metro
20,High School,12th Grade (Commerce),Govt. Hindi Medium School,Madhya Pradesh,Percentage,65.2,Undecided,,,Not Placed Yet,B.Com,Local College,Applied,Local Business|Accounting|Cricket,Lower Income,Rural
21,Undergraduate,B.Tech (Civil Engineering),NIT Warangal,Telangana,CGPA,7.8,Job,L&T Construction,Site Engineer,Placed,,,Placed,Infrastructure|CAD|Project Mgmt,Middle Income,Semi-Urban
22,Postgraduate,M.Sc (Chemistry),University of Pune,Maharashtra,CGPA,8.0,Higher Education,,,Not Placed Yet,PhD (Organic Chemistry),IISc Bangalore,Applied,Lab Research|Nanotech|Teaching,Middle Income,Urban
23,High School,9th Grade,Rural Tamil Medium School,Tamil Nadu,Percentage,53.7,Undecided,,,Not Placed Yet,10th Grade,Same School,Applied,Farming|Kabaddi|Folklore,Lower Income,Rural
24,Undergraduate,BBA,Private Business College,Karnataka,CGPA,6.9,Job,Local Bank,Clerk,Placed,,,Placed,Banking|Family Business|Cricket,Middle Income,Urban
25,High School,11th Grade (Vocational - Automotive),Govt. ITI (Marathi Medium),Maharashtra,Percentage,61.5,Job,Local Garage,Mechanic,Placed,,,Placed,Engine Repair|Bikes|Welding,Lower Income,Semi-Urban
26,Undergraduate,B.A. (Political Science),JNU,Delhi,CGPA,8.5,Higher Education,,,Not Placed Yet,M.A. (International Relations),Same Institution,Applied,Debate|Policy|Journalism,Upper Income,Metro
27,Postgraduate,MCA,VIT Chennai,Tamil Nadu,CGPA,7.6,Job,TCS,Software Developer,Placed,,,Placed,Web Dev|AI|Gaming,Middle Income,Urban
28,High School,12th Grade (Arts),Bengali Medium School,West Bengal,Percentage,72.8,Higher Education,,,Not Placed Yet,B.A. (Fine Arts),Rabindra Bharati University,Applied,Painting|Pottery|Theater,Middle Income,Semi-Urban
29,Undergraduate,B.Sc (Nursing),Private Medical College,Kerala,CGPA,7.1,Job,Apollo Hospitals,Nurse,Placed,,,Placed,Patient Care|Biology|Yoga,Middle Income,Urban
30,High School,10th Grade,Govt. Urdu Medium School,Uttar Pradesh,Percentage,58.3,Undecided,,,Not Placed Yet,11th Grade (Vocational - Textile),Same School,Applied,Tailoring|Embroidery|Cricket,Lower Income,Rural
31,Undergraduate,B.Tech (ECE),BITS Pilani,Rajasthan,CGPA,8.9,Job,Qualcomm,Hardware Engineer,Placed,,,Placed,IoT|Robotics|Circuit Design,Upper Income,Semi-Urban
32,Postgraduate,M.A. (Sociology),TISS,Mumbai,Percentage,79.2,Job,NGO (Pratham),Community Officer,Placed,,,Placed,Social Work|Research|Activism,Middle Income,Metro
33,High School,8th Grade,Tribal Residential School,Jharkhand,Percentage,47.1,Undecided,,,Not Placed Yet,9th Grade,Same School,Applied,Forestry|Archery|Folk Dance,Lower Income,Rural
34,Undergraduate,B.Com (General),Local College,Punjab,CGPA,5.8,Undecided,,,Not Placed Yet,MBA,Private B-School,Applied,Family Business|Accounting,Lower Income,Semi-Urban
35,High School,12th Grade (Science - PCB),Govt. School (Odia Medium),Odisha,Percentage,83.4,Higher Education,,,Not Placed Yet,MBBS,SCB Medical College,Applied,Medicine|Wildlife|Dance,Middle Income,Semi-Urban
36,Undergraduate,B.Arch,SPA Delhi,Delhi,CGPA,8.2,Job,Urban Planning Consultancy,Junior Architect,Placed,,,Placed,Sustainable Design|Sketching,Upper Income,Metro
37,Postgraduate,M.Sc (Microbiology),University of Mumbai,Maharashtra,CGPA,7.7,Job,Biocon,Research Scientist,Placed,,,Placed,Lab Work|Genetics|Healthcare,Middle Income,Urban
38,High School,11th Grade (Arts),Rural Convent School (Kannada Medium),Karnataka,Percentage,69.5,Undecided,,,Not Placed Yet,12th Grade (Arts - History),Same School,Applied,Local History|Drama|Painting,Lower Income,Rural
39,Undergraduate,B.Tech (Mechanical),COE Pune,Maharashtra,CGPA,7.4,Job,Tata Motors,Graduate Engineer,Placed,,,Placed,Automobiles|3D Modeling,Middle Income,Urban
40,High School,10th Grade,Govt. Sanskrit School,Rajasthan,Percentage,63.8,Undecided,,,Not Placed Yet,11th Grade (Humanities),Same School,Applied,Sanskrit Lit|Yoga|Local History,Lower Income,Rural
41,Postgraduate,MBA (HR),XLRI Jamshedpur,Jharkhand,CGPA,8.6,Job,TCS,HR Manager,Placed,,,Placed,Recruitment|Employee Relations,Upper Income,Semi-Urban
42,Undergraduate,B.Sc (Computer Science),Local Degree College,Andhra Pradesh,CGPA,6.3,Job,Local IT Solutions,Support Technician,Placed,,,Placed,Networking|Hardware Repair,Lower Income,Urban
43,High School,12th Grade (Vocational - Healthcare),Govt. ITI (Hindi Medium),Bihar,Percentage,71.0,Job,Local Clinic,Lab Assistant,Placed,,,Placed,First Aid|Patient Care,Lower Income,Semi-Urban
44,Undergraduate,B.A. (Economics),Presidency College,West Bengal,CGPA,8.7,Higher Education,,,Not Placed Yet,M.A. (Development Economics),Delhi School of Economics,Applied,Policy|Data Analysis|Debate,Middle Income,Urban
